Concurso;Jogo;Mandante;Visitante;Data;1;X;2;Odds_1;Odds_X;Odds_2;P(1);P(X);P(2);Top1;Top2;Top3;P(Top1);P(Top2);P(Top3)
846;6;AVAI/SC;TUBARAO/SC;Sábado;1;0;0;1,3;4,6;9;0,700744753;0,198036561;0,101218687;1;0;0;0,700744753;0,198036561;0,101218687
846;7;SANTA CRUZ/PE;CONFIANCA/SE;Sábado;1;0;0;1,44;4,34;7,7;0,658410106;0,218458653;0,123131241;1;0;0;0,658410106;0,218458653;0,123131241
846;8;SERGIPE/SE;MOTO CLUBE/MA;Sábado;0;0;1;2,44;3,13;3,07;0,388448929;0,302816417;0,308734654;0;1;0;0,388448929;0,308734654;0,302816417
846;9;SALGUEIRO/PE;CEARA/CE;Sábado;0;0;1;3,34;3,24;2,22;0,282855929;0,291586051;0,42555802;1;0;0;0,42555802;0,291586051;0,282855929
846;10;CRB/AL;BOTAFOGO/PB;Sábado;0;1;0;2,02;3,28;3,92;0,469228074;0,288975826;0,241796099;0;1;0;0,469228074;0,288975826;0,241796099
846;11;BAHIA DE FEIRA/BA;VITORIA CONQUISTA/BA;Domingo;1;0;0;1,5;4;5;0,597014925;0,223880597;0,179104478;1;0;0;0,597014925;0,223880597;0,179104478
846;12;CHAPECOENSE/SC;BRUSQUE/SC;Domingo;1;0;0;1,8;3,5;4;0,509090909;0,261818182;0,229090909;1;0;0;0,509090909;0,261818182;0,229090909
846;13;CARDIFF;CHELSEA;Domingo;0;0;1;9;4,5;1,44;0,108108108;0,216216216;0,675675676;1;0;0;0,675675676;0,216216216;0,108108108
846;14;LIVERPOOL;TOTTENHAM;Domingo;1;0;0;1,55;4,5;6,5;0,63174946;0,217602592;0,150647948;1;0;0;0,63174946;0,217602592;0,150647948
845;1;CRICIUMA/SC;AVAI/SC;Domingo;0;0;1;2,7;3,2;2,4;0,336842105;0,284210526;0,378947368;1;0;0;0,378947368;0,336842105;0,284210526
845;2;PAYSANDU/PA;REMO/PA;Domingo;0;1;0;2,23;3,03;3,03;0,404539386;0,297730307;0,297730307;0;1;0;0,404539386;0,297730307;0,297730307
845;3;CAMPINENSE/PB;TREZE/PB;Sorteio;0;0;1;2,77;2,77;2,77;0,333333333;0,333333333;0,333333333;1;0;0;0,333333333;0,333333333;0,333333333
845;4;ABC/RN;VITORIA/BA;Sábado;0;1;0;2,71;3,16;2,7;0,349491656;0,299722275;0,350786069;0;0;1;0,350786069;0,349491656;0,299722275
845;5;CEARA/CE;SANTA CRUZ/PE;Sábado;1;0;0;1,67;3,74;5,25;0,56669447;0,253042718;0,180262812;1;0;0;0,56669447;0,253042718;0,180262812
845;6;MOTO CLUBE/MA;FORTALEZA/CE;Sábado;0;1;0;3,96;3,38;1,97;0,239134338;0,280169225;0,480696437;0;1;0;0,480696437;0,280169225;0,239134338
845;7;CONFIANCA/SE;CRB/AL;Sábado;0;0;1;3,09;3,28;2,34;0,306505331;0,288750449;0,404744219;1;0;0;0,404744219;0,306505331;0,288750449
845;8;BAHIA/BA;SALGUEIRO/PE;Domingo;1;0;0;1,58;3,42;5,35;0,569049811;0,262894357;0,168055832;1;0;0;0,569049811;0,262894357;0,168055832
845;9;BOTAFOGO/PB;SAMPAIO CORREA/MA;Domingo;1;0;0;1,51;3,4;6,4;0,595218557;0,264347065;0,140434378;1;0;0;0,595218557;0,264347065;0,140434378
845;10;CSA/AL;SERGIPE/SE;Domingo;1;0;0;1,58;3,4;5,35;0,56817117;0,264032485;0,167796345;1;0;0;0,56817117;0,264032485;0,167796345
